('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
('2021-10-04', 9.93431578184429)
('2021-11-01', 9.967949724197387)
('2021-12-01', 9.91023808433896)
('2022-01-03', 9.589789415660658)
('2022-02-01', 6.118611070844862)
('2022-03-01', 8.097590944983743)
('2022-04-01', 9.278894725598787)
('2022-05-02', 6.327600049972534)
('2022-06-01', 4.750049996376037)
('2022-07-01', 4.1313158461922095)
('2022-08-01', 4.912590937180952)
('2022-09-01', 4.486833333969116)
